id,category,source_type,expected_language,language,language_confidence,original_text,cleaned_text,translated_text,was_translated,cleaned_translated_text,topic,topic_name,topic_probability
0,unknown,csv,unknown,en,1.0,Apple Music roulette with:,apple music roulette with:,apple music roulette with:,False,apple music roulette with:,0,Apple / Inside / Thing,1.0
1,unknown,csv,unknown,id,0.86,Mending namatin black clover atau 1 day 1 movie ya bingung ga apple to apple sih wkakak,mending namatin black clover atau day movie ya bingung ga apple to apple sih wkakak,mending namatin black clover atau day movie ya bingung ga apple to apple sih wkakak,False,mending namatin black clover atau movie bingung apple apple wkakak,1,Apple,1.0
2,unknown,csv,unknown,ja,1.0,"Apple Pencilくんが行方不明だ
いずれ出てくるとは思うが、一体何処なのか…",apple pencil ...,apple pencil ...,False,apple pencil,0,Apple / Inside / Thing,1.0
3,unknown,csv,unknown,en,1.0,"Smart phones have replaced this part of iconic Americana. At the rate we’re headed,  Hot Dogs  Baseball  and Apple Pie  will be haram and offensive to other cultures. ","smart phones replaced part iconic americana. rate we’re headed, hot dogs baseball apple pie haram offensive other cultures.","smart phones replaced part iconic americana. rate we’re headed, hot dogs baseball apple pie haram offensive other cultures.",False,"smart phones replaced iconic americana. rate we’re headed, dogs baseball apple haram offensive cultures.",1,Apple,0.3845434033854013
4,unknown,csv,unknown,en,1.0,"If I upload that Apple Music thing, it'll give away that I'm using these cheap-ass earbuds.","upload apple music thing, it'll give away i'm using cheap-ass earbuds.","upload apple music thing, it'll give away i'm using cheap-ass earbuds.",False,"upload apple music thing, it'll away cheap-ass earbuds.",0,Apple / Inside / Thing,0.34016364642602404
5,unknown,csv,unknown,ja,1.0,Appleマップゴミすぎて東海道新幹線のリンクをJR東日本にしている,apple jr,apple jr,False,apple,0,Apple / Inside / Thing,1.0
6,unknown,csv,unknown,en,1.0,"UI wise Apple maps, but for accuracy Google maps","ui wise apple maps, accuracy google maps","ui wise apple maps, accuracy google maps",False,"wise apple maps, accuracy google maps",0,Apple / Inside / Thing,0.38553032651931635
7,unknown,csv,unknown,en,1.0,"BR Daily Deals 

 Dropped $463.32 below the average!
 Price well below normal

--- | Amazon 5.5 Deals

Grab yours now 

Link: 
amazon.com.br/dp/B0FQGTT4V7?
…

For $10,709.10
Free Shipping

Apple iPhone 17 Pro Max 256GB Silver

Amazon | Smartphone","br daily deals dropped $463.32 below average! price well below normal --- amazon 5.5 deals grab yours now link: amazon.com.br/dp/b0fqgtt4v7? ... $10,709.10 free shipping apple iphone 17 pro max 256gb silver amazon smartphone","br daily deals dropped $463.32 below average! price well below normal --- amazon 5.5 deals grab yours now link: amazon.com.br/dp/b0fqgtt4v7? ... $10,709.10 free shipping apple iphone 17 pro max 256gb silver amazon smartphone",False,"daily deals dropped $463.32 average! price normal amazon deals grab yours link: amazon.com.br/dp/b0fqgtt4v7? $10,709.10 free shipping apple iphone 256gb silver amazon smartphone",2,Guide / Amazon / Apple,0.4908749812631002
8,unknown,csv,unknown,ja,1.0,"Mrs. GREEN APPLE「ZENJIN MITO TO IM/MUTABLE」チケットのお譲り先を探しています

譲 5/4 アリーナエリア

求  定価〜

ᴊᴀᴍꜱの方にお譲りさせて頂きたいです
 #ミセス譲  #Mrs譲",mrs. green apple zenjin mito to im/mutable 5/4 ᴊᴀᴍ,mrs. green apple zenjin mito to im/mutable 5/4 ᴊᴀᴍ,False,mrs. green apple zenjin mito im/mutable,1,Apple,1.0
9,unknown,csv,unknown,en,1.0," Asake now occupies the entire TOP 10 on the NG Apple Top Songs Chart with songs from ""M$NEY"" ","asake now occupies entire top 10 ng apple top songs chart songs ""m$ney""","asake now occupies entire top 10 ng apple top songs chart songs ""m$ney""",False,"asake occupies entire apple songs chart songs ""m$ney""",1,Apple,0.4330843934477557
