id,category,source_type,expected_language,language,language_confidence,original_text,cleaned_text,translated_text,was_translated,cleaned_translated_text,topic,topic_name,topic_probability
0,unknown,csv,en,en,1.0,"No, it was Thatcher who oversaw the ruination of the UK. Before her we owned British Gas, Brit Oil, British Petrolium, British Telecom, British Steel, British Coal, British Airways, British Aerospace, Associated British Ports, BAA, National Express the list goes on and on.","no, thatcher who oversaw ruination uk. before owned british gas, brit oil, british petrolium, british telecom, british steel, british coal, british airways, british aerospace, associated british ports, baa, national express list goes on.","no, thatcher who oversaw ruination uk. before owned british gas, brit oil, british petrolium, british telecom, british steel, british coal, british airways, british aerospace, associated british ports, baa, national express list goes on.",False,"thatcher oversaw ruination owned british gas, brit oil, british petrolium, british telecom, british steel, british coal, british airways, british aerospace, associated british ports, baa, national express list goes",0,British / Petrolium / British Petrolium,0.39130213031249195
1,unknown,csv,en,so,1.0,"Dekedda Xamar waxaa taagan markabkii Turkiga ee qodi lahaa shidaalka Soomaaliya ka dib markii la sahmiyay goobaha qaar.
 
Sharikadda Mareykanka ee Chevron ee Shidaalka, Gaaska iyo Tamarta ee fadhigeesu yahay Houston iyo Sharikadda British Petrolium oo loo soo gaabiyo BP iyagana","dekedda xamar waxaa taagan markabkii turkiga ee qodi lahaa shidaalka soomaaliya ka dib markii la sahmiyay goobaha qaar. sharikadda mareykanka ee chevron ee shidaalka, gaaska iyo tamarta ee fadhigeesu yahay houston iyo sharikadda british petrolium oo loo soo gaabiyo bp iyagana","dekedda xamar waxaa taagan markabkii turkiga ee qodi lahaa shidaalka soomaaliya ka dib markii la sahmiyay goobaha qaar. sharikadda mareykanka ee chevron ee shidaalka, gaaska iyo tamarta ee fadhigeesu yahay houston iyo sharikadda british petrolium oo loo soo gaabiyo bp iyagana",False,"dekedda xamar waxaa taagan markabkii turkiga qodi lahaa shidaalka soomaaliya markii sahmiyay goobaha qaar. sharikadda mareykanka chevron shidaalka, gaaska tamarta fadhigeesu yahay houston sharikadda british petrolium gaabiyo iyagana",0,British / Petrolium / British Petrolium,1.0
2,unknown,csv,en,en,1.0,What ever happened to British Petrolium  i wonder.,what ever happened british petrolium wonder.,what ever happened british petrolium wonder.,False,ever happened british petrolium wonder.,2,Petrolium British / British Petrolium / Petrolium,0.3814062624593197
3,unknown,csv,en,en,1.0,British Petrolium.,british petrolium.,british petrolium.,False,british petrolium.,3,British Petrolium / Petrolium / British,1.0
4,unknown,csv,en,es,1.0,"Buen punto, por eso BP tiene acuerdos de extraccion de gas natural en las costas de Gaza y eso viene desde hace años ese estudios de British petrolium (BP)","buen punto, eso bp tiene acuerdos extraccion gas natural costas gaza eso viene desde hace años ese estudios british petrolium (bp)","Good point, that bp has agreements extracting natural gas gaza coasts that has been for years that British petrolium studies (bp)",True,"point, agreements extracting natural gaza coasts British petrolium studies (bp)",1,Develop / Needs / Industry,0.2898458964771769
5,unknown,csv,en,en,1.0,"@bp_plc
  British Petrolium",british petrolium,british petrolium,False,british petrolium,2,Petrolium British / British Petrolium / Petrolium,1.0
6,unknown,csv,en,en,1.0,"Giuseppe: “…[History confirms motive ~ use of force to steal property] …take control of Iran’s vast oil reserves…”

The evidence of prior theft in plain sight:

British Petroleum is the company created from stolen Persian Petrolium property of Iran.",giuseppe: “...[history confirms motive use force steal property] ...take control iran’s vast oil reserves...” evidence prior theft plain sight: british petroleum company created stolen persian petrolium property iran.,giuseppe: “...[history confirms motive use force steal property] ...take control iran’s vast oil reserves...” evidence prior theft plain sight: british petroleum company created stolen persian petrolium property iran.,False,giuseppe: “...[history confirms motive force steal property] ...take control iran’s vast reserves...” evidence prior theft plain sight: british petroleum company created stolen persian petrolium property iran.,0,British / Petrolium / British Petrolium,0.37917741347272915
7,unknown,csv,en,en,1.0,if i could only knowww which bPINK memeber i TRUELY AM!!!! TRUE ? TRUE bp? british petrolium,only knowww which bpink memeber truely am!!!! true true bp? british petrolium,only knowww which bpink memeber truely am!!!! true true bp? british petrolium,False,knowww bpink memeber truely am!!!! true true british petrolium,3,British Petrolium / Petrolium / British,0.4157158840822039
8,unknown,csv,en,en,1.0,"No kidding and British Petrolium, guess where they get their oil from?  Sanctioned Iran!! Starmer needs to go!","kidding british petrolium, guess where get oil from? sanctioned iran!! starmer needs go!","kidding british petrolium, guess where get oil from? sanctioned iran!! starmer needs go!",False,"kidding british petrolium, guess from? sanctioned iran!! starmer needs",0,British / Petrolium / British Petrolium,1.0
9,unknown,csv,en,en,1.0,"Actually the oil is mostly owned by the uk govt/bankers. History-John D'arcy. 
Check him out. 
British Petrolium as it now is.",actually oil mostly owned uk govt/bankers. history-john d'arcy. check him out. british petrolium now is.,actually oil mostly owned uk govt/bankers. history-john d'arcy. check him out. british petrolium now is.,False,actually mostly owned govt/bankers. history-john d'arcy. check out. british petrolium,0,British / Petrolium / British Petrolium,0.4078563841488096
10,unknown,csv,en,en,1.0,"British Petrolium is the only Iranian oil in this country.  China is the main terminal.  Unless China is somehow circumventing sanctions, no known fuel suppliers other than BP can justify higher gasoline costs.  It's a scam.","british petrolium only iranian oil country. china main terminal. unless china somehow circumventing sanctions, known fuel suppliers other than bp justify higher gasoline costs. it's scam.","british petrolium only iranian oil country. china main terminal. unless china somehow circumventing sanctions, known fuel suppliers other than bp justify higher gasoline costs. it's scam.",False,"british petrolium iranian country. china main terminal. unless china somehow circumventing sanctions, known fuel suppliers justify higher gasoline costs. it's scam.",0,British / Petrolium / British Petrolium,1.0
11,unknown,csv,en,id,1.0,Kalo inggris bilang lengserkan mossadeq biar minyak kembali ke british petrolium ya pasti di tolak amerika keenakan iggrisnya,kalo inggris bilang lengserkan mossadeq biar minyak kembali ke british petrolium ya pasti di tolak amerika keenakan iggrisnya,kalo inggris bilang lengserkan mossadeq biar minyak kembali ke british petrolium ya pasti di tolak amerika keenakan iggrisnya,False,kalo inggris bilang lengserkan mossadeq biar minyak kembali british petrolium pasti tolak amerika keenakan iggrisnya,0,British / Petrolium / British Petrolium,1.0
12,unknown,csv,en,id,1.0,Itu sebetulnya inggris british petrolium. Tapi amerika lebih fokus ke iran menghalangi komunisme di timur tengah. Yg sekarang soviet sudah tidak ada,itu sebetulnya inggris british petrolium. tapi amerika lebih fokus ke iran menghalangi komunisme di timur tengah. yg sekarang soviet sudah tidak ada,itu sebetulnya inggris british petrolium. tapi amerika lebih fokus ke iran menghalangi komunisme di timur tengah. yg sekarang soviet sudah tidak ada,False,sebetulnya inggris british petrolium. tapi amerika lebih fokus iran menghalangi komunisme timur tengah. sekarang soviet sudah tidak,0,British / Petrolium / British Petrolium,1.0
13,unknown,csv,en,en,1.0,"First it was Putins fault,  now Irans. Yet British Petrolium and ESB doubled their profits.","first putins fault, now irans. yet british petrolium esb doubled profits.","first putins fault, now irans. yet british petrolium esb doubled profits.",False,"putins fault, irans. british petrolium doubled profits.",0,British / Petrolium / British Petrolium,0.4570365156522443
14,unknown,csv,en,en,1.0,British Petrolium said what now?,british petrolium said what now?,british petrolium said what now?,False,british petrolium now?,2,Petrolium British / British Petrolium / Petrolium,1.0
15,unknown,csv,en,es,1.0,"La BP (British Persian, no British Petrolium), se engendra en el avtual Irán. No digo más.","bp (british persian, british petrolium), se engendra avtual irán. digo más.","bp (british persian, british petrolium), it breeds avtual will. I say more.",True,"(british persian, british petrolium), breeds avtual will. more.",1,Develop / Needs / Industry,0.3090229333582285
16,unknown,csv,en,en,1.0,British petrolium?,british petrolium?,british petrolium?,False,british petrolium?,2,Petrolium British / British Petrolium / Petrolium,0.3579903539198341
17,unknown,csv,en,en,1.0,You mean British Petrolium or Blood Pressure?,mean british petrolium blood pressure?,mean british petrolium blood pressure?,False,british petrolium blood pressure?,2,Petrolium British / British Petrolium / Petrolium,0.45933013576587783
18,unknown,csv,en,en,1.0,British Petrolium?,british petrolium?,british petrolium?,False,british petrolium?,2,Petrolium British / British Petrolium / Petrolium,0.43245528315105797
